iter	Passed	Remaining
0	141	141658
1	143	71446
2	144	48175
3	148	36931
4	149	29751
5	152	25282
6	154	21865
7	155	19274
8	158	17415
9	159	15797
10	162	14622
11	164	13535
12	167	12727
13	168	11898
14	170	11168
15	171	10565
16	173	10014
17	174	9501
18	175	9068
19	176	8656
20	177	8284
21	178	7938
22	179	7633
23	182	7415
24	183	7173
25	185	6942
26	186	6727
27	189	6590
28	190	6393
29	192	6217
30	193	6043
31	194	5879
32	195	5732
33	197	5618
34	199	5502
35	201	5384
36	203	5288
37	204	5172
38	205	5060
39	206	4954
40	207	4860
41	208	4760
42	212	4725
43	213	4638
44	214	4549
45	215	4468
46	217	4409
47	218	4340
48	220	4276
49	221	4207
50	222	4147
51	224	4084
52	225	4035
53	227	3988
54	229	3937
55	230	3880
56	231	3830
57	232	3783
58	234	3742
59	235	3694
60	236	3646
61	238	3600
62	239	3556
63	241	3525
64	242	3491
65	243	3451
66	244	3409
67	245	3369
68	246	3332
69	247	3294
70	248	3256
71	249	3218
72	250	3181
73	251	3145
74	252	3112
75	253	3079
76	254	3045
77	255	3018
78	257	2996
79	258	2970
80	259	2941
81	260	2916
82	261	2883
83	262	2857
84	263	2831
85	264	2805
86	264	2780
87	265	2755
88	266	2731
89	268	2710
90	268	2686
91	270	2666
92	271	2651
93	273	2631
94	274	2612
95	275	2592
96	276	2573
97	277	2557
98	279	2539
99	280	2521
100	281	2502
101	282	2484
102	283	2467
103	284	2450
104	285	2434
105	287	2420
106	288	2405
107	289	2393
108	290	2378
109	292	2364
110	293	2350
111	294	2336
112	295	2321
113	296	2306
114	297	2291
115	298	2277
116	299	2262
117	301	2252
118	302	2240
119	303	2226
120	304	2212
121	305	2198
122	306	2186
123	307	2174
124	309	2163
125	309	2150
126	310	2136
127	311	2124
128	312	2113
129	313	2101
130	315	2089
131	316	2081
132	318	2073
133	319	2063
134	320	2052
135	321	2041
136	322	2032
137	324	2024
138	325	2013
139	326	2003
140	327	1993
141	327	1980
142	328	1970
143	329	1960
144	331	1953
145	332	1947
146	334	1939
147	335	1930
148	336	1921
149	337	1914
150	339	1906
151	340	1899
152	341	1891
153	342	1881
154	343	1873
155	344	1864
156	345	1856
157	347	1850
158	348	1843
159	349	1834
160	350	1824
161	351	1817
162	352	1809
163	353	1802
164	354	1795
165	356	1789
166	357	1781
167	358	1774
168	359	1767
169	360	1759
170	362	1755
171	363	1749
172	364	1742
173	365	1735
174	366	1729
175	368	1723
176	369	1717
177	370	1710
178	371	1703
179	372	1696
180	373	1690
181	374	1683
182	375	1676
183	377	1672
184	378	1667
185	379	1661
186	380	1655
187	381	1649
188	382	1643
189	384	1639
190	385	1634
191	387	1628
192	388	1623
193	389	1618
194	390	1612
195	391	1606
196	392	1601
197	394	1596
198	395	1591
199	396	1587
200	398	1582
201	399	1577
202	400	1571
203	401	1566
204	402	1561
205	403	1557
206	405	1552
207	406	1548
208	407	1543
209	409	1538
210	410	1533
211	411	1528
212	412	1524
213	413	1519
214	414	1514
215	415	1509
216	416	1504
217	417	1498
218	418	1493
219	420	1489
220	421	1485
221	422	1480
222	423	1476
223	424	1472
224	426	1467
225	427	1463
226	428	1458
227	429	1454
228	430	1450
229	431	1445
230	432	1441
231	434	1437
232	436	1435
233	437	1431
234	438	1427
235	439	1423
236	441	1422
237	442	1418
238	444	1413
239	445	1410
240	446	1405
241	447	1401
242	448	1397
243	449	1393
244	450	1389
245	452	1385
246	453	1382
247	454	1378
248	455	1374
249	456	1370
250	458	1366
251	459	1363
252	460	1359
253	461	1354
254	462	1350
255	463	1346
256	464	1343
257	465	1339
258	466	1336
259	468	1332
260	469	1329
261	470	1325
262	471	1322
263	473	1318
264	474	1315
265	475	1311
266	476	1307
267	477	1304
268	478	1300
269	479	1296
270	480	1293
271	482	1290
272	483	1287
273	484	1283
274	485	1280
275	486	1277
276	487	1273
277	489	1270
278	490	1267
279	491	1263
280	492	1260
281	493	1256
282	494	1252
283	496	1250
284	497	1247
285	498	1244
286	499	1242
287	500	1238
288	502	1235
289	503	1232
290	504	1229
291	505	1226
292	506	1222
293	507	1219
294	508	1215
295	509	1211
296	511	1209
297	512	1207
298	513	1204
299	514	1201
300	516	1198
301	517	1197
302	519	1194
303	520	1191
304	521	1188
305	522	1184
306	523	1181
307	524	1178
308	525	1175
309	526	1172
310	528	1170
311	529	1167
312	530	1164
313	531	1161
314	533	1159
315	534	1156
316	535	1154
317	536	1150
318	537	1147
319	538	1144
320	539	1140
321	540	1138
322	542	1136
323	543	1133
324	544	1130
325	545	1128
326	546	1125
327	547	1122
328	549	1120
329	550	1117
330	551	1114
331	552	1111
332	553	1108
333	554	1106
334	556	1104
335	557	1102
336	559	1099
337	559	1096
338	560	1093
339	561	1090
340	563	1088
341	564	1086
342	565	1083
343	566	1080
344	567	1077
345	568	1074
346	569	1072
347	570	1069
348	572	1068
349	574	1066
350	575	1064
351	576	1061
352	578	1060
353	579	1057
354	580	1055
355	582	1053
356	583	1050
357	584	1048
358	585	1045
359	587	1044
360	588	1042
361	589	1039
362	591	1037
363	592	1034
364	593	1032
365	595	1030
366	596	1028
367	597	1026
368	598	1023
369	599	1021
370	601	1020
371	603	1018
372	604	1016
373	605	1013
374	606	1011
375	608	1009
376	609	1007
377	610	1004
378	611	1002
379	612	1000
380	613	997
381	615	995
382	616	992
383	617	991
384	619	989
385	620	987
386	621	984
387	623	983
388	625	982
389	626	980
390	627	977
391	629	975
392	630	973
393	632	972
394	633	970
395	634	968
396	635	966
397	636	963
398	638	961
399	639	959
400	640	957
401	641	954
402	643	952
